ts,time,asset_id,server_id,rack_id,room_id,asset_temp_inlet_c,rack_inlet_c,room_temp_c,server_temp_c
t_001,2025-01-01T00:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.83,84.83,84.83,84.83
t_002,2025-01-01T00:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.23,84.23,84.23,84.23
t_003,2025-01-01T00:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.35,84.35,84.35,84.35
t_004,2025-01-01T00:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.55,84.55,84.55,84.55
t_005,2025-01-01T00:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.81,84.81,84.81,84.81
t_006,2025-01-01T00:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.89,84.89,84.89,84.89
t_007,2025-01-01T00:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,86.65,86.65,86.65,86.65
t_008,2025-01-01T00:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85.08,85.08,85.08,85.08
t_009,2025-01-01T00:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.92,84.92,84.92,84.92
t_010,2025-01-01T00:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85.44,85.44,85.44,85.44
t_011,2025-01-01T00:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,86.77,86.77,86.77,86.77
t_012,2025-01-01T00:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,86.33,86.33,86.33,86.33
t_013,2025-01-01T01:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,86.99,86.99,86.99,86.99
t_014,2025-01-01T01:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85.08,85.08,85.08,85.08
t_015,2025-01-01T01:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,86.41,86.41,86.41,86.41
t_016,2025-01-01T01:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85.5,85.5,85.5,85.5
t_017,2025-01-01T01:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85.28,85.28,85.28,85.28
t_018,2025-01-01T01:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,84.48,84.48,84.48,84.48
t_019,2025-01-01T01:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,85,85,85,85
