ts,time,asset_id,server_id,rack_id,room_id,asset_temp_inlet_c,rack_inlet_c,room_temp_c,server_temp_c
t_001,2025-01-01T00:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.82,68.82,68.82,68.82
t_002,2025-01-01T00:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.82,68.82,68.82,68.82
t_003,2025-01-01T00:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.87,68.87,68.87,68.87
t_004,2025-01-01T00:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69,69,69,69
t_005,2025-01-01T00:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.83,68.83,68.83,68.83
t_006,2025-01-01T00:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.28,69.28,69.28,69.28
t_007,2025-01-01T00:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.4,69.4,69.4,69.4
t_008,2025-01-01T00:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.91,68.91,68.91,68.91
t_009,2025-01-01T00:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.37,69.37,69.37,69.37
t_010,2025-01-01T00:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.74,69.74,69.74,69.74
t_011,2025-01-01T00:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.95,69.95,69.95,69.95
t_012,2025-01-01T00:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.28,69.28,69.28,69.28
t_013,2025-01-01T01:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.03,69.03,69.03,69.03
t_014,2025-01-01T01:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.22,69.22,69.22,69.22
t_015,2025-01-01T01:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.2,69.2,69.2,69.2
t_016,2025-01-01T01:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.28,69.28,69.28,69.28
t_017,2025-01-01T01:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,70.09,70.09,70.09,70.09
t_018,2025-01-01T01:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.7,69.7,69.7,69.7
t_019,2025-01-01T01:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.89,68.89,68.89,68.89
t_020,2025-01-01T01:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.97,68.97,68.97,68.97
t_021,2025-01-01T01:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.7,68.7,68.7,68.7
t_022,2025-01-01T01:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.85,68.85,68.85,68.85
t_023,2025-01-01T01:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.55,68.55,68.55,68.55
t_024,2025-01-01T01:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.33,69.33,69.33,69.33
t_025,2025-01-01T02:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.24,69.24,69.24,69.24
t_026,2025-01-01T02:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.03,69.03,69.03,69.03
t_027,2025-01-01T02:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.94,68.94,68.94,68.94
t_028,2025-01-01T02:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.22,69.22,69.22,69.22
t_029,2025-01-01T02:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.21,69.21,69.21,69.21
t_030,2025-01-01T02:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.6,68.6,68.6,68.6
t_031,2025-01-01T02:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.6,68.6,68.6,68.6
t_032,2025-01-01T02:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.87,68.87,68.87,68.87
t_033,2025-01-01T02:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.87,68.87,68.87,68.87
t_034,2025-01-01T02:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.11,69.11,69.11,69.11
t_035,2025-01-01T02:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.02,69.02,69.02,69.02
t_036,2025-01-01T02:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.97,68.97,68.97,68.97
t_037,2025-01-01T03:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.12,69.12,69.12,69.12
t_038,2025-01-01T03:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,69.43,69.43,69.43,69.43
t_039,2025-01-01T03:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.94,68.94,68.94,68.94
t_040,2025-01-01T03:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.9,68.9,68.9,68.9
t_041,2025-01-01T03:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.86,68.86,68.86,68.86
t_042,2025-01-01T03:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.58,68.58,68.58,68.58
t_043,2025-01-01T03:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.22,68.22,68.22,68.22
t_044,2025-01-01T03:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.03,68.03,68.03,68.03
t_045,2025-01-01T03:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.27,68.27,68.27,68.27
t_046,2025-01-01T03:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.15,68.15,68.15,68.15
t_047,2025-01-01T03:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.91,67.91,67.91,67.91
t_048,2025-01-01T03:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.02,68.02,68.02,68.02
t_049,2025-01-01T04:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.63,67.63,67.63,67.63
t_050,2025-01-01T04:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.06,68.06,68.06,68.06
t_051,2025-01-01T04:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.93,67.93,67.93,67.93
t_052,2025-01-01T04:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.05,68.05,68.05,68.05
t_053,2025-01-01T04:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.1,68.1,68.1,68.1
t_054,2025-01-01T04:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.14,68.14,68.14,68.14
t_055,2025-01-01T04:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.81,68.81,68.81,68.81
t_056,2025-01-01T04:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.51,68.51,68.51,68.51
t_057,2025-01-01T04:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.91,68.91,68.91,68.91
t_058,2025-01-01T04:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.9,68.9,68.9,68.9
t_059,2025-01-01T04:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.59,68.59,68.59,68.59
t_060,2025-01-01T04:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.57,68.57,68.57,68.57
t_061,2025-01-01T05:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.84,68.84,68.84,68.84
t_062,2025-01-01T05:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.67,68.67,68.67,68.67
t_063,2025-01-01T05:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.4,68.4,68.4,68.4
t_064,2025-01-01T05:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.47,68.47,68.47,68.47
t_065,2025-01-01T05:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.82,68.82,68.82,68.82
